gene,err_spaceflight,err_ground,err_ratio
AT3G46490,0.95194227,0.19670008,4.839562
AT2G41940,0.41840357,0.08669352,4.8262377
AT3G28960,0.6625025,0.137325,4.8243394
AT4G22940,0.74714553,0.1548778,4.8240967
AT2G01310,1.0643169,0.22067836,4.8229322
AT3G24870,0.33479446,0.069461256,4.819873
AT1G17450,0.40274674,0.083674066,4.81328
AT1G75360,0.56198704,0.11676372,4.813028
AT5G37150,0.5965944,0.12399528,4.811428
AT1G16270,0.25076327,0.052119,4.811359
AT5G51030,0.72710323,0.15116204,4.810091
AT1G68750,0.51987946,0.1080984,4.8093166
AT3G14340,0.751778,0.15632933,4.808937
AT1G23160,0.7035939,0.1463552,4.8074403
AT4G00180,0.41232476,0.08579204,4.806095
AT2G02150,0.48693085,0.10136127,4.803914
AT2G24800,0.80963427,0.16858488,4.8025312
AT1G15180,0.46679458,0.09720988,4.801925
AT2G45190,0.36442825,0.07589426,4.801789
AT2G40170,1.1381359,0.23711589,4.799914
AT2G07000,1.0491961,0.21867406,4.7979903
AT1G02700,0.9616291,0.20051777,4.7957296
AT3G48770,0.59091836,0.12323202,4.7951684
AT2G27990,0.47785607,0.09970989,4.792464
AT2G29360,0.41351953,0.08630043,4.791627
AT2G07724,0.76241326,0.15913148,4.7910895
AT5G50570,1.0571234,0.22072873,4.7892423
AT3G06100,0.747004,0.15599045,4.7887797
AT1G03055,0.7139803,0.14909942,4.7886186
AT5G57320,0.49655992,0.10370043,4.7884073
AT1G30210,0.3720452,0.07771815,4.7871075
AT4G26330,0.6573255,0.13742004,4.78333
AT4G29370,0.73297405,0.15327662,4.782034
AT5G27100,0.6168241,0.1290563,4.7794952
AT2G32770,0.52868617,0.11063851,4.7785
AT3G50170,0.7161208,0.1498672,4.7783685
AT5G66260,0.8444304,0.17677541,4.776854
AT4G23250,0.58210546,0.12189176,4.775593
AT2G12170,0.9745053,0.20408106,4.7750893
AT3G63320,0.92862236,0.19461195,4.7716613
AT1G08420,0.31924152,0.066957615,4.7678146
AT1G27860,0.8109535,0.17011684,4.767038
AT1G62580,1.0210066,0.21436583,4.7629166
AT3G47180,0.67168987,0.14107311,4.7612886
AT5G36120,0.43032372,0.09039619,4.7604184
AT3G13290,0.36355615,0.07639671,4.758793
AT1G67020,0.67965835,0.14284398,4.7580466
AT1G71300,0.71394217,0.150088,4.7568235
AT3G60020,0.78568065,0.16517213,4.756738
AT2G07739,1.2323123,0.25908294,4.756439
AT3G47090,0.8067728,0.16966058,4.755216
AT1G72590,0.67345315,0.14167094,4.753643
AT1G59720,0.40916896,0.08609902,4.7523065
AT5G39800,0.5161193,0.108616084,4.7517757
AT1G16700,0.21293028,0.044813626,4.7514615
AT1G28350,0.34627095,0.07293275,4.747811
AT1G42680,0.88431185,0.18632402,4.7460966
AT2G35810,0.4469423,0.094283,4.740433
AT3G26420,0.70404345,0.14864072,4.7365446
AT5G04680,0.82943445,0.17519018,4.73448
AT1G52790,1.0841109,0.22899766,4.7341566
AT5G22770,0.21934307,0.04634789,4.732535
AT5G64800,0.9036024,0.19111681,4.7280107
AT4G10490,0.6642781,0.14058374,4.725141
AT5G61730,0.74292797,0.15723054,4.725086
AT1G70840,0.78879154,0.16694035,4.72499
AT3G19940,0.5369863,0.1137109,4.7223816
AT4G02690,0.87171125,0.18466204,4.720576
AT3G47770,0.613882,0.13005227,4.7202706
AT5G25780,0.23229308,0.049271815,4.7145214
AT4G39130,0.977319,0.207334,4.713742
AT4G23240,0.691523,0.14673348,4.7127824
AT1G22080,0.4744983,0.10069524,4.7122216
AT1G62700,0.65152836,0.13827612,4.711792
AT1G63320,0.76215655,0.1617685,4.7114024
AT1G80700,0.44191542,0.09382782,4.7098546
